Name	Anlageklasse	Gewichtung (%)	Kurs	Nominale	Marktwert	Nominalwert	Sektor	ISIN	Börse	Country	Weighting
CHAROEN POKPHAND INDONESIA	Aktien	0,05	0,49	1845000	909916	909916,05	Nichtzyklische Konsumgüter	ID1000117708	Indonesia Stock Exchange	Indonesien	0.000552307841280214
HYUNDAI STEEL	Aktien	0,05	47,56	19109	908852	908852,08	Materialien	KR7004020004	Südkorea Exchange (Stock Market)	Südkorea	0.000551662024587689
HANKOOK TIRE & TECHNOLOGY LTD	Aktien	0,05	46,04	19724	908069	908068,97	Zyklische Konsumgüter 	KR7161390000	Südkorea Exchange (Stock Market)	Südkorea	0.000551186686457775
JD HEALTH INTERNATIONAL INC	Aktien	0,05	13,21	68450	904507	904506,98	Zyklische Konsumgüter 	KYG5074A1004	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000549024602375885
SHIMAO GROUP HOLDINGS LTD	Aktien	0,05	2,87	310597	890927	890926,5	Immobilien	KYG810431042	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000540781418191642
GAIL INDIA LTD	Aktien	0,05	2,22	400196	888030	888030,16	Versorger	INE129A01019	National Stock Exchange Of India	Indien	0.000539023375465597
COWAY LTD	Aktien	0,05	72,28	12134	877078	877078,06	Zyklische Konsumgüter 	KR7021240007	Südkorea Exchange (Stock Market)	Südkorea	0.000532375585585987
CHAROEN POKPHAND FOODS NON-VOTING	Aktien	0,05	0,86	1005151	867756	867756,26	Nichtzyklische Konsumgüter	TH0101010R14	Stock Exchange Of Thailand	Thailand	0.000526717367737378
HONG LEONG BANK	Aktien	0,05	4,49	192880	866278	866277,91	Financials	MYL5819OO007	Bursa Malaysia	Malaysia	0.000525820027485872
MARICO LTD	Aktien	0,05	6,67	129839	865934	865934,21	Nichtzyklische Konsumgüter	INE196A01026	National Stock Exchange Of India	Indien	0.00052561140581682
WIN SEMICONDUCTORS CORP	Aktien	0,05	11,78	73000	860141	860140,74	IT	TW0003105003	Gretai Securities Market	Taiwan	0.000522094840844456
JUBILANT FOODWORKS LTD	Aktien	0,05	43,48	19761	859259	859259,23	Zyklische Konsumgüter 	INE797F01012	National Stock Exchange Of India	Indien	0.000521559775125847
YIHAI INTERNATIONAL HOLDING LTD	Aktien	0,05	7,13	120000	855502	855501,91	Nichtzyklische Konsumgüter	KYG984191075	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00051927912813847
POU CHEN CORP	Aktien	0,05	1,37	622000	854100	854099,6	Zyklische Konsumgüter 	TW0009904003	Taiwan Stock Exchange	Taiwan	0.000518427943230911
HYUNDAI HEAVY INDUSTRIES HOLDINGS	Aktien	0,05	68,34	12488	853450	853450,13	Industrie	KR7267250009	Südkorea Exchange (Stock Market)	Südkorea	0.000518033722935889
TINGYI (CAYMAN ISLANDS) HOLDINGS C	Aktien	0,05	1,9	448379	853191	853190,93	Nichtzyklische Konsumgüter	KYG8878S1030	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000517876391726642
WEIMOB INC	Aktien	0,05	2,21	386000	851933	851933,45	IT	KYG9T20A1060	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000517113116846225
COMPAL ELECTRONICS INC	Aktien	0,05	0,84	1017000	851476	851476	IT	TW0002324001	Taiwan Stock Exchange	Taiwan	0.000516835450327436
HAVELLS INDIA LTD	Aktien	0,05	14,48	58822	851476	851476,27	Industrie	INE176B01034	National Stock Exchange Of India	Indien	0.000516835614214112
FAR EASTONE TELECOMMUNICATIONS LTD	Aktien	0,05	2,36	360000	850956	850956,33	Kommunikation	TW0004904008	Taiwan Stock Exchange	Taiwan	0.000516520017034575
HYUNDAI GLOVIS LTD	Aktien	0,05	173,77	4874	846931	846930,9	Industrie	KR7086280005	Südkorea Exchange (Stock Market)	Südkorea	0.000514076630577633
FAR EASTERN NEW CENTURY CORP	Aktien	0,05	1,15	731277	841853	841852,63	Industrie	TW0001402006	Taiwan Stock Exchange	Taiwan	0.000510994183201155
KINGBOARD HOLDINGS LTD	Aktien	0,05	5,61	147500	827172	827172,11	IT	KYG525621408	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000502083288278408
WINBOND ELECTRONICS CORP	Aktien	0,05	1,23	675000	827003	827002,89	IT	TW0002344009	Taiwan Stock Exchange	Taiwan	0.000501980573821506
AMBUJA CEMENTS LTD	Aktien	0,05	4,55	181732	826561	826560,88	Materialien	INE079A01024	National Stock Exchange Of India	Indien	0.000501712279192651
CJ CHEILJEDANG CORP	Aktien	0,05	424,56	1925	817278	817277,98	Nichtzyklische Konsumgüter	KR7097950000	Südkorea Exchange (Stock Market)	Südkorea	0.000496077673165183
BANDHAN BANK LTD	Aktien	0,05	4,31	184393	795221	795221,45	Financials	INE545U01014	National Stock Exchange Of India	Indien	0.000482689630971145
ACER	Aktien	0,05	1,16	685942	794613	794613,43	IT	TW0002353000	Taiwan Stock Exchange	Taiwan	0.000482320570315873
KUNLUN ENERGY LTD	Aktien	0,05	0,87	909809	792887	792887,43	Versorger	BMG5320C1082	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000481272909562939
CANSINO BIOLOGICS INC H	Aktien	0,05	41,25	19200	792074	792074,1	Gesundheitsversorgung	CNE100003F01	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000480779228265034
SAMSUNG HEAVY INDUSTRIES LTD	Aktien	0,05	6,3	125355	789328	789328,36	Industrie	KR7010140002	Südkorea Exchange (Stock Market)	Südkorea	0.000479112597885104
CHOLAMANDALAM INVESTMENT AND FINAN	Aktien	0,05	7,82	99615	778704	778704,3	Financials	INE121A01024	National Stock Exchange Of India	Indien	0.00047266392424732
ICICI PRUDENTIAL LIFE INSURANCE CO	Aktien	0,05	7,92	98251	778202	778202,42	Financials	INE726G01019	National Stock Exchange Of India	Indien	0.000472359289265464
Volksrepublik China MINSHENG BANKING CORP LTD H	Aktien	0,05	0,53	1460594	775785	775784,92	Financials	CNE100000HF9	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000470891896524898
Volksrepublik China HONGQIAO GROUP LTD	Aktien	0,05	1,4	554000	775629	775629,28	Materialien	KYG211501005	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000470797424960827
HARTALEGA HOLDINGS	Aktien	0,05	2,08	371300	770843	770843,27	Gesundheitsversorgung	MYL5168OO009	Bursa Malaysia	Malaysia	0.000467892375806627
PETRONAS GAS	Aktien	0,05	3,92	196200	769971	769970,93	Versorger	MYL6033OO004	Bursa Malaysia	Malaysia	0.000467362876165135
LG UPLUS CORP	Aktien	0,05	13,66	56024	765252	765252,36	Kommunikation	KR7032640005	Südkorea Exchange (Stock Market)	Südkorea	0.000464498762260748
BANK NEGARA INDONESIA	Aktien	0,05	0,39	1942900	764520	764519,94	Financials	ID1000096605	Indonesia Stock Exchange	Indonesien	0.000464054192336841
NEW Volksrepublik China LIFE INSURANCE COMPANY L	Aktien	0,05	3,64	209800	764079	764079,49	Financials	CNE100001922	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000463786844608782
360 DIGITECH ADR INC	Aktien	0,05	36,57	20816	761241	761241,12	Financials	US88557W1018	NASDAQ	Volksrepublik China	0.000462063988959127
GENTING	Aktien	0,05	1,23	615700	754710	754709,79	Zyklische Konsumgüter 	MYL3182OO002	Bursa Malaysia	Malaysia	0.000458099552049822
HOPSON DEVELOPMENT HOLDINGS LTD	Aktien	0,05	4,72	159600	754087	754087,03	Immobilien	BMG4600H1198	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000457721544396
GIANT MANUFACTURING LTD	Aktien	0,05	11,4	66000	752652	752652,47	Zyklische Konsumgüter 	TW0009921007	Taiwan Stock Exchange	Taiwan	0.000456850784135439
SYNNEX TECHNOLOGY INTERNATIONAL CO	Aktien	0,05	2,15	349300	752552	752551,79	IT	TW0002347002	Taiwan Stock Exchange	Taiwan	0.00045678967261481
WAN HAI LINES LTD	Aktien	0,05	5,61	134000	751967	751966,8	Industrie	TW0002615002	Taiwan Stock Exchange	Taiwan	0.000456434590886039
WISTRON CORP	Aktien	0,05	1,12	673006	751697	751697,43	IT	TW0003231007	Taiwan Stock Exchange	Taiwan	0.000456271086611985
POWERTECH TECHNOLOGY INC	Aktien	0,05	3,79	198000	750271	750270,66	IT	TW0006239007	Taiwan Stock Exchange	Taiwan	0.000455405054785528
ENERGY ABSOLUTE NON-VOTING DR PCL	Aktien	0,05	1,91	392400	749669	749669,06	Versorger	TH3545010R19	Stock Exchange Of Thailand	Thailand	0.000455039890991226
JINXIN FERTILITY GROUP LTD	Aktien	0,04	2,58	288000	742569	742569,47	Gesundheitsversorgung	KYG5140J1013	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000450730527257204
Südkorea ZINC INC	Aktien	0,04	394,11	1883	742102	742102,2	Materialien	KR7010130003	Südkorea Exchange (Stock Market)	Südkorea	0.0004504469001193
FENG TAY ENTERPRISES LTD	Aktien	0,04	8,41	87926	739327	739327,25	Zyklische Konsumgüter 	TW0009910000	Taiwan Stock Exchange	Taiwan	0.000448762539628944
P.I. INDUSTRIES LTD	Aktien	0,04	37,12	19914	739237	739237,14	Materialien	INE603J01030	National Stock Exchange Of India	Indien	0.000448707843968198
HANON SYSTEMS	Aktien	0,04	15,32	47937	734222	734222,49	Zyklische Konsumgüter 	KR7018880005	Südkorea Exchange (Stock Market)	Südkorea	0.000445664013148558
INTERNATIONAL CONTAINER TERMINAL S	Aktien	0,04	3,1	236120	732002	732001,68	Industrie	PHY411571011	Philippine Stock Exchange Inc.	Philippinen	0.000444316008816737
HIWIN TECHNOLOGIES CORP	Aktien	0,04	13,46	54034	727343	727343,27	Industrie	TW0002049004	Taiwan Stock Exchange	Taiwan	0.00044148841129178
Volksrepublik China TAIPING INSURANCE HLDGS LTD	Aktien	0,04	1,81	400734	726367	726367,02	Financials	HK0000055878	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000440895839559421
CHENG SHIN RUBBER INDUSTRY LTD	Aktien	0,04	1,72	422154	725934	725934,25	Zyklische Konsumgüter 	TW0002105004	Taiwan Stock Exchange	Taiwan	0.000440633153496821
YUHAN CORP	Aktien	0,04	56,97	12671	721820	721819,7	Gesundheitsversorgung	KR7000100008	Südkorea Exchange (Stock Market)	Südkorea	0.000438135672296946
COLGATE PALMOLIVE INDIA LTD	Aktien	0,04	23,24	30908	718295	718295,46	Nichtzyklische Konsumgüter	INE259A01022	National Stock Exchange Of India	Indien	0.000435996502000353
Volksrepublik China YOUZAN LTD	Aktien	0,04	0,2	3479799	713290	713289,6	IT	BMG2164J1099	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000432958006602507
UNITED TRACTORS	Aktien	0,04	1,65	432400	711592	711592,17	Energie	ID1000058407	Indonesia Stock Exchange	Indonesien	0.000431927687487877
THE PEOPLES INSURANCE CO (GROUP)	Aktien	0,04	0,37	1916000	711382	711381,55	Financials	CNE100001MK7	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00043179984374061
SAMSUNG ENGINEERING LTD	Aktien	0,04	17,56	40422	709634	709634,29	Industrie	KR7028050003	Südkorea Exchange (Stock Market)	Südkorea	0.000430739278429386
KANGWON LAND INC	Aktien	0,04	25,57	27734	709217	709217,34	Zyklische Konsumgüter 	KR7035250000	Südkorea Exchange (Stock Market)	Südkorea	0.000430486194912042
COAL INDIA LTD	Aktien	0,04	2,1	337127	706983	706982,54	Energie	INE522F01014	National Stock Exchange Of India	Indien	0.000429129698822438
HINDUSTAN PETROLEUM CORP LTD	Aktien	0,04	4,09	172646	706606	706605,6	Energie	INE094A01015	National Stock Exchange Of India	Indien	0.000428900900882571
Volksrepublik China LESSO GROUP HOLDINGS LTD	Aktien	0,04	2,5	282000	705286	705286,3	Industrie	KYG2157Q1029	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000428100102023159
PPB GROUP	Aktien	0,04	4,48	156900	703161	703161,34	Nichtzyklische Konsumgüter	MYL4065OO008	Bursa Malaysia	Malaysia	0.000426810277461424
HLB INC	Aktien	0,04	30,01	23408	702376	702376,28	Zyklische Konsumgüter 	KR7028300002	Südkorea Exchange (Kosdaq)	Südkorea	0.000426333755705515
CONTAINER CORPORATION OF INDIA LTD	Aktien	0,04	9,77	71795	701711	701711,46	Industrie	INE111A01025	National Stock Exchange Of India	Indien	0.000425930218149452
DIALOG GROUP	Aktien	0,04	0,71	990500	700644	700644,38	Energie	MYL7277OO006	Bursa Malaysia	Malaysia	0.00042528251372521
HOTEL SHILLA LTDINARY SHARES Südkorea	Aktien	0,04	86,61	8047	696981	696981,41	Zyklische Konsumgüter 	KR7008770000	Südkorea Exchange (Stock Market)	Südkorea	0.000423059136026384
LARSEN & TOUBRO INFOTECH LTD	Aktien	0,04	52,83	13092	691593	691592,94	IT	INE214T01019	National Stock Exchange Of India	Indien	0.000419788401068469
WPG HOLDINGS LTD	Aktien	0,04	1,85	372320	689282	689282,43	IT	TW0003702007	Taiwan Stock Exchange	Taiwan	0.000418385949940855
PHARMARON BEIJING LTD H	Aktien	0,04	23,42	29400	688679	688679,04	Gesundheitsversorgung	CNE100003PG4	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000418019699638588
MINTH GROUP LTD	Aktien	0,04	4,46	154000	686928	686928,33	Zyklische Konsumgüter 	KYG6145U1094	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000416957040219834
E-MART INC	Aktien	0,04	144,21	4743	683974	683974,2	Nichtzyklische Konsumgüter	KR7139480008	Südkorea Exchange (Stock Market)	Südkorea	0.000415163919675185
SAMSUNG SECURITIES LTD	Aktien	0,04	41,61	16420	683156	683155,54	Financials	KR7016360000	Südkorea Exchange (Stock Market)	Südkorea	0.000414667003132892
HOME PRODUCT CENTER NON-VOTING DR	Aktien	0,04	0,45	1514700	682886	682886,33	Zyklische Konsumgüter 	TH0661010R17	Stock Exchange Of Thailand	Thailand	0.000414503595976868
WEIBO ADR REPRESENTING CORP	Aktien	0,04	47,73	14282	681680	681679,86	Kommunikation	US9485961018	NASDAQ	Volksrepublik China	0.000413771283538518
SIAM COMMERCIAL BANK NON-VOTING DR	Aktien	0,04	3,31	205999	681723	681723,31	Financials	TH0015010R16	Stock Exchange Of Thailand	Thailand	0.000413797657153649
Volksrepublik China RESOURCES POWER LTD	Aktien	0,04	1,31	520914	680955	680955,28	Versorger	HK0836012952	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000413331472398101
SK BIOPHARMACEUTICALS LTD	Aktien	0,04	101,66	6658	676862	676862,38	Gesundheitsversorgung	KR7326030004	Südkorea Exchange (Stock Market)	Südkorea	0.000410847132481714
HUA HONG SEMICONDUCTOR LTD	Aktien	0,04	5,35	126000	674114	674113,85	IT	HK0000218211	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000409178808606128
JIUMAOJIU INTERNATIONAL HOLDINGS L	Aktien	0,04	3,76	179000	672676	672676,41	Zyklische Konsumgüter 	KYG5141L1059	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00040830630022102
LG INNOTEK LTD	Aktien	0,04	191,23	3509	671030	671030,05	IT	KR7011070000	Südkorea Exchange (Stock Market)	Südkorea	0.000407306979967717
INDIAN OIL CORP LTD	Aktien	0,04	1,57	423641	665001	665001,4	Energie	INE242A01010	National Stock Exchange Of India	Indien	0.00040364766363042
DIGI.COM	Aktien	0,04	1,01	653900	662137	662137,11	Kommunikation	MYL6947OO005	Bursa Malaysia	Malaysia	0.00040190907485984
Volksrepublik China MERCHANTS PORT HOLDINGS LTD	Aktien	0,04	1,62	408830	661983	661983,25	Industrie	HK0144000764	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000401815683733857
UNITED SPIRITS LTD	Aktien	0,04	8,62	76691	661114	661114,37	Nichtzyklische Konsumgüter	INE854D01024	National Stock Exchange Of India	Indien	0.000401288284269773
MAXIS	Aktien	0,04	1,1	601800	660406	660405,52	Kommunikation	MYL6012OO008	Bursa Malaysia	Malaysia	0.000400858021045719
RHB BANK	Aktien	0,04	1,31	503363	659688	659688,43	Financials	MYL1066OO009	Bursa Malaysia	Malaysia	0.000400422756243099
BERGER PAINTS INDIA LTD	Aktien	0,04	10,91	60464	659540	659539,51	Materialien	INE463A01038	National Stock Exchange Of India	Indien	0.000400332363636305
DAEWOO SECURITIES	Aktien	0,04	8,92	73844	658772	658772,22	Financials	KR7006800007	Südkorea Exchange (Stock Market)	Südkorea	0.000399866628051647
AXIATA GROUP	Aktien	0,04	0,94	702747	658825	658825,31	Kommunikation	MYL6888OO001	Bursa Malaysia	Malaysia	0.000399898853028109
SBI CARDS & PAYMENT SERVICES LTD	Aktien	0,04	14,38	45701	657068	657067,78	Financials	INE018E01016	National Stock Exchange Of India	Indien	0.00039883205395331
CIFI HOLDINGS (GROUP) LTD	Aktien	0,04	0,87	752000	652450	652450,41	Immobilien	KYG2140A1076	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000396029367203151
Volksrepublik China MEIDONG AUTO HOLDINGS LTD	Aktien	0,04	5,34	122000	651141	651140,6	Zyklische Konsumgüter 	KYG211921021	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000395234328656917
HANGZHOU TIGERMED CONSULTING LTD H	Aktien	0,04	21,76	29900	650666	650666,19	Gesundheitsversorgung	CNE1000040M1	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000394946367626905
BALKRISHNA INDUSTRIES LTD	Aktien	0,04	30,32	21376	648018	648017,99	Zyklische Konsumgüter 	INE787D01026	National Stock Exchange Of India	Indien	0.000393338942826257
LG CHEM PREFERRED STOCK LTD	Aktien	0,04	331,41	1951	646576	646576,2	Materialien	KR7051911006	Südkorea Exchange (Stock Market)	Südkorea	0.000392463794044697
Volksrepublik China RESOURCES CEMENT HOLDINGS LT	Aktien	0,04	1,04	620000	642632	642632	Materialien	KYG2113L1068	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000390069713197813
GULF ENERGY DEVELOPMENT PCL NON-VO	Aktien	0,04	1,1	581400	641353	641352,52	Versorger	TH8319010R14	Stock Exchange Of Thailand	Thailand	0.000389293084588216
PETRONET LNG LTD	Aktien	0,04	3,36	190939	640637	640637,04	Energie	INE347G01014	National Stock Exchange Of India	Indien	0.000388858797035777
ZHONGAN ONLINE P & C INSURANCE COR	Aktien	0,04	5,07	126200	640204	640204,46	Financials	CNE100002QY7	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000388596226300839
ZHUZHOU CRRC TIMES ELECTRIC LTD H	Aktien	0,04	4,86	131700	640091	640091,02	Industrie	CNE1000004X4	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000388527369617285
GS ENGINEERING & CONSTRUCTION CORP	Aktien	0,04	40,13	15706	630238	630237,63	Industrie	KR7006360002	Südkorea Exchange (Stock Market)	Südkorea	0.000382546483182551
UNILEVER INDONESIA	Aktien	0,04	0,4	1593500	629820	629819,87	Nichtzyklische Konsumgüter	ID1000095706	Indonesia Stock Exchange	Indonesien	0.000382292908005178
HENGTEN NETWORKS GROUP LTD	Aktien	0,04	0,94	672000	629823	629822,67	Zyklische Konsumgüter 	BMG4404N1149	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00038229460757071
GUANGZHOU AUTOMOBILE GROUP LTD H	Aktien	0,04	0,9	702000	628980	628979,55	Zyklische Konsumgüter 	CNE100000Q35	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00038178284410952
FILA HOLDINGS CORP	Aktien	0,04	50,34	12470	627716	627716,42	Zyklische Konsumgüter 	KR7081660003	Südkorea Exchange (Stock Market)	Südkorea	0.000381016139748655
BRILLIANCE Volksrepublik China AUTOMOTIVE HOLDIN	Aktien	0,04	0,94	665094	625922	625922,4	Zyklische Konsumgüter 	BMG1368B1028	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000379927191693048
TATA MOTORS ADR REPSG LTD	Aktien	0,04	23,6	26409	623252	623252,4	Zyklische Konsumgüter 	US8765685024	New York Stock Exchange Inc.	Indien	0.000378306534560757
DONGFENG MOTOR GROUP LTD H	Aktien	0,04	0,96	646451	623379	623378,5	Zyklische Konsumgüter 	CNE100000312	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000378383075708466
FOXCONN TECHNOLOGY LTD	Aktien	0,04	2,31	269770	623070	623070,37	IT	TW0002354008	Taiwan Stock Exchange	Taiwan	0.000378196044591547
MUTHOOT FINANCE LTD	Aktien	0,04	20,67	30118	622667	622667,28	Financials	INE414G01012	National Stock Exchange Of India	Indien	0.000377951373923586
BHARAT ELECTRONICS LTD	Aktien	0,04	2,09	295992	619503	619502,82	Industrie	INE263A01024	National Stock Exchange Of India	Indien	0.0003760305856581
Volksrepublik China EVERGRANDE GROUP	Aktien	0,04	1,47	419501	617609	617609,14	Immobilien	KYG2119W1069	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000374881145209308
DOOSAN BOBCAT INC	Aktien	0,04	46,58	13258	617507	617507,28	Industrie	KR7241560002	Südkorea Exchange (Stock Market)	Südkorea	0.000374819317443204
TONGCHENG-ELONG HOLDINGS LTD	Aktien	0,04	2,63	234000	615404	615404,45	Zyklische Konsumgüter 	KYG8918W1069	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000373542925519049
NAN YA PRINTED CIRCUIT BOARD CORP	Aktien	0,04	12,31	50000	615301	615301,34	IT	TW0008046004	Taiwan Stock Exchange	Taiwan	0.000373480339018334
MINOR INTERNATIONAL PUBLIC NON VOT	Aktien	0,04	1,03	596188	614774	614774,2	Zyklische Konsumgüter 	TH0128010R17	Stock Exchange Of Thailand	Thailand	0.000373160371527429
I MAB ADR	Aktien	0,04	78,03	7836	611443	611443,08	Gesundheitsversorgung	US44975P1030	NASDAQ	Volksrepublik China	0.000371138422693528
CHANG HWA COMMERCIAL BANK LTD	Aktien	0,04	0,61	1001175	610605	610604,75	Financials	TW0002801008	Taiwan Stock Exchange	Taiwan	0.000370629566703373
PIRAMAL ENTERPRISES LTD	Aktien	0,04	26,41	23043	608567	608567,19	Financials	INE140A01024	National Stock Exchange Of India	Indien	0.000369392792865744
SKC LTD	Aktien	0,04	120,02	5059	607198	607197,81	Materialien	KR7011790003	Südkorea Exchange (Stock Market)	Südkorea	0.000368561596062817
DR REDDYS LABORATORIES ADR REPSG	Aktien	0,04	72,27	8350	603455	603454,5	Gesundheitsversorgung	US2561352038	New York Stock Exchange Inc.	Indien	0.000366289452972976
GANFENG LITHIUM LTD H	Aktien	0,04	14,79	40800	603307	603306,75	Materialien	CNE1000031W9	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000366199770541779
BUMRUNGRAD HOSPITAL NON-VOTING DR	Aktien	0,04	4,2	143200	602104	602103,92	Gesundheitsversorgung	TH0168010R13	Stock Exchange Of Thailand	Thailand	0.000365469667538621
BHARAT FORGE LTD	Aktien	0,04	10,29	58327	599918	599917,74	Zyklische Konsumgüter 	INE465A01025	National Stock Exchange Of India	Indien	0.000364142683190504
HAITONG SECURITIES COMPANY LTD H	Aktien	0,04	0,93	641200	597649	597649,3	Financials	CNE1000019K9	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000362765768035008
PHISON ELECTRONICS CORP	Aktien	0,04	17,03	35000	596175	596174,67	IT	TW0008299009	Gretai Securities Market	Taiwan	0.000361870685777709
SEAZEN GROUP LTD	Aktien	0,04	1,06	560000	594159	594158,71	Immobilien	KYG7956A1094	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000360647022874184
INTERGLOBE AVIATION LTD	Aktien	0,04	24,03	24674	592953	592953,33	Industrie	INE646L01027	National Stock Exchange Of India	Indien	0.000359915372052416
INVENTEC CORP	Aktien	0,04	0,93	636000	592162	592161,67	IT	TW0002356003	Taiwan Stock Exchange	Taiwan	0.000359434844177753
BTS GROUP HOLDINGS NON-VOTING DR P	Aktien	0,04	0,3	1946600	591293	591293,37	Industrie	TH0221010R10	Stock Exchange Of Thailand	Thailand	0.000358907796766529
HAITIAN INTERNATIONAL LTD	Aktien	0,04	3,64	162000	589995	589994,65	Industrie	KYG4232C1087	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000358119489713777
INDUSTRIAL BANK OF Südkorea	Aktien	0,04	9,81	60127	589718	589717,99	Financials	KR7024110009	Südkorea Exchange (Stock Market)	Südkorea	0.000357951560499462
PLDT INC	Aktien	0,04	27,82	20965	583191	583190,62	Kommunikation	PHY7072Q1032	Philippine Stock Exchange Inc.	Philippinen	0.00035398952726141
Südkorea AEROSPACE INDUSTRIES LTD	Aktien	0,04	30,1	19348	582286	582285,64	Industrie	KR7047810007	Südkorea Exchange (Stock Market)	Südkorea	0.000353440215541717
GLOBAL POWER SYNERGY PCL NON-VOTIN	Aktien	0,03	2,41	240800	579383	579382,89	Versorger	TH6488010R19	Stock Exchange Of Thailand	Thailand	0.00035167828202458
WIWYNN CORPORATION CORP	Aktien	0,03	32,19	18000	579430	579429,81	IT	TW0006669005	Taiwan Stock Exchange	Taiwan	0.000351706761886995
NIEN MADE ENTERPRISE LTD	Aktien	0,03	14,83	39000	578455	578455,43	Zyklische Konsumgüter 	TW0008464009	Taiwan Stock Exchange	Taiwan	0.000351115325221616
NESTLE MALAYSIA	Aktien	0,03	32,87	17600	578566	578565,89	Nichtzyklische Konsumgüter	MYL4707OO005	Bursa Malaysia	Malaysia	0.000351182373081853
ORION CORP	Aktien	0,03	106,59	5366	571950	571950,38	Nichtzyklische Konsumgüter	KR7271560005	Südkorea Exchange (Stock Market)	Südkorea	0.000347166839948804
PAGE INDUSTRIES LTD	Aktien	0,03	425,22	1337	568519	568518,82	Zyklische Konsumgüter 	INE761H01022	National Stock Exchange Of India	Indien	0.00034508392527132
CENTRAL RETAIL CORPORATION PCL NVD	Aktien	0,03	1,18	483384	568005	568005,18	Zyklische Konsumgüter 	TH9597010R14	Stock Exchange Of Thailand	Thailand	0.00034477215211423
NONGFU SPRING LTD H	Aktien	0,03	5,58	101800	567608	567607,99	Nichtzyklische Konsumgüter	CNE100004272	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00034453106267364
HDFC ASSET MANAGEMENT COMPANY LTD	Aktien	0,03	42,02	13502	567331	567331,36	Financials	INE127D01025	National Stock Exchange Of India	Indien	0.000344363151668957
HYUNDAI MOTOR S1 PREF	Aktien	0,03	102,56	5477	561706	561705,85	Zyklische Konsumgüter 	KR7005381009	Südkorea Exchange (Stock Market)	Südkorea	0.000340948536349005
TRAVELSKY TECHNOLOGY LTD H	Aktien	0,03	2,18	256000	558412	558412,24	IT	CNE1000004J3	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000338949355623355
SCG PACKAGING PCL NVDR	Aktien	0,03	1,79	311600	557941	557940,85	Materialien	TH0098010R12	Stock Exchange Of Thailand	Thailand	0.000338663227696168
Volksrepublik China EVERBRIGHT ENVIRONMENT GROUP	Aktien	0,03	0,58	955629	556855	556855,31	Industrie	HK0257001336	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000338004318279169
LOGAN GROUP COMPANY LTD	Aktien	0,03	1,6	348000	555411	555411,02	Immobilien	KYG555551095	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000337127652028384
LAND AND HOUSE PUBLIC NON-VOTING D	Aktien	0,03	0,26	2125700	553939	553939,41	Immobilien	TH0143010R16	Stock Exchange Of Thailand	Thailand	0.000336234402873908
STATE BANK OF INDIA	Aktien	0,03	5,94	93168	553345	553345,02	Financials	INE062A01020	National Stock Exchange Of India	Indien	0.000335873615460851
